objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
Akeley-1920-Manuscript-Box10-Folder1,mg101_b6_psychiana_photographs_018a.jpg,NA,"Grand Isle, collected notes",PDF,"A collection of notes and observations from Dr. Akeley’s travels around Grand Isle, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations. ",Dr. Henry Wentworth Akeley,Miskatonic University,1920,,Manuscript,Grand Isle,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1920-Manuscript-Box10-Folder1,Akeley-1920-Manuscript-Box10-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1920-Map-Box10-Folder2,mg101_b6_psychiana_photographs_038.jpg,NA,Map of Grand Isle,PDF,"A hand drawn map of Grand Isle, detailing Dr. Akeley's travels and observations.",Dr. Henry Wentworth Akeley,Miskatonic University,1920,,Drawing,Grand Isle,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1920-Map-Box10-Folder2,Akeley-1920-Map-Box10-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1921-Vol10-Box10-Folder3,mg101_b6_psychiana_photographs_015.jpg,NA,"A Collection of Folklore and Culture of Grand Isle, Vermont By Doctor Henry Wentworth Akeley",PDF,1 bound Volume (#10) (294 pages) The work focuses on the cultural development and storytelling of the Grand Isle region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Dr. Henry Wentworth Akeley,Miskatonic University,10/23/1921,,Bound Volume,Grand Isle,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1921-Vol10-Box10-Folder3,Akeley-1921-Vol10-Box10-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1922-Manuscript-Box11-Folder1,mg101_b6_psychiana_photographs_021.jpg,NA,"Lamoille County, collected notes",PDF,"A collection of notes and observations from Dr. Akeley’s travels around Lamoille County, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations. ",Dr. Henry Wentworth Akeley,Miskatonic University,1922,,Manuscript,Lamoille County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1922-Manuscript-Box11-Folder1,Akeley-1922-Manuscript-Box11-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1922-Map-Box11-Folder2,mg101_b6_psychiana_photographs_010.jpg,NA,Map of Lamoille County ,PDF,"A hand drawn map of Lamoille County, detailing Dr. Akeley's travels and observations.",Dr. Henry Wentworth Akeley,Miskatonic University,1922,,Drawing,Lamoille County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1922-Map-Box11-Folder2,Akeley-1922-Map-Box11-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1923-Vol11-Box11-Folder3,mg101_b6_psychiana_photographs_019.jpg,NA,"A Collection of Folklore and Culture of Lamoille County, Vermont By Doctor Henry Wentworth Akeley",PDF,1 bound Volume (#11) (232 pages) The work focuses on the cultural development and storytelling of the Lamoille County region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Dr. Henry Wentworth Akeley,Miskatonic University,11/8/1923,,Bound Volume,Lamoille County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1923-Vol11-Box11-Folder3,Akeley-1923-Vol11-Box11-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1924-Manuscript-Box12-Folder1,mg101_b6_psychiana_photographs_003.jpg,NA,"Orange County, collected notes",PDF,"A collection of notes and observations from Dr. Akeley’s travels around Orange County, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations. ",Dr. Henry Wentworth Akeley,Miskatonic University,1924,,Manuscript,Orange County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1924-Manuscript-Box12-Folder1,Akeley-1924-Manuscript-Box12-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1924-Map-Box12-Folder2,mg101_b6_psychiana_photographs_035.jpg,NA,Map of Orange County,PDF,"A hand drawn map of Orange County, detailing Dr. Akeley's travels and observations.",Dr. Henry Wentworth Akeley,Miskatonic University,1924,,Drawing,Orange County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1924-Map-Box12-Folder2,Akeley-1924-Map-Box12-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1925-Vol12-Box12-Folder3,mg101_b6_psychiana_photographs_017.jpg,NA,"A Collection of Folklore and Culture of Orange County, Vermont By Doctor Henry Wentworth Akeley",PDF,1 bound Volume (#12) (276 pages) The work focuses on the cultural development and storytelling of the Orange County region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Dr. Henry Wentworth Akeley,Miskatonic University,9/12/1925,,Bound Volume,Orange County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1925-Vol12-Box12-Folder3,Akeley-1925-Vol12-Box12-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1926-Manuscript-Box13-Folder1,mg101_b6_psychiana_photographs_028.jpg,NA,"Addison County, collected notes",PDF,"A collection of notes and observations from Dr. Akeley’s travels around Addison County, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations. ",Dr. Henry Wentworth Akeley,Miskatonic University,1926,,Manuscript,Addison County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1926-Manuscript-Box13-Folder1,Akeley-1926-Manuscript-Box13-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1926-Map-Box13-Folder2,mg101_b6_psychiana_photographs_040.jpg,NA,Map of Addison County,PDF,"A hand drawn map of Addison County, detailing Dr. Akeley's travels and observations.",Dr. Henry Wentworth Akeley,Miskatonic University,1926,,Drawing,Addison County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1926-Map-Box13-Folder2,Akeley-1926-Map-Box13-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1926-Vol13-Box13-Folder3,mg101_b6_photographs_04.jpg,NA,"A Collection of Folklore and Culture of Addison County, Vermont By Doctor Henry Wentworth Akeley",PDF,1 bound Volume (#13) (216 pages) The work focuses on the cultural development and storytelling of the Addison County region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Dr. Henry Wentworth Akeley,Miskatonic University,12/11/1926,,Bound Volume,Addison County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1926-Vol13-Box13-Folder3,Akeley-1926-Vol13-Box13-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1927-Manuscript-Box14-Folder1,mg101_b6_photographs_05.jpg,NA,"Washington County, collected notes",PDF,"A collection of notes and observations from Dr. Akeley’s travels around Washington County, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations. ",Dr. Henry Wentworth Akeley,Miskatonic University,1927,,Manuscript,Washington County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1927-Manuscript-Box14-Folder1,Akeley-1927-Manuscript-Box14-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1927-Map-Box14-Folder2,mg101_b6_photographs_08.jpg,NA,Map of Washington County,PDF,"A hand drawn map of Washington County, detailing Dr. Akeley's travels and observations.",Dr. Henry Wentworth Akeley,Miskatonic University,1927,,Drawing,Washington County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1927-Map-Box14-Folder2,Akeley-1927-Map-Box14-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1928-Vol14-Box14-Folder3,mg101_b7_f23_040.pdf,NA,"A Collection of Folklore and Culture of Washington County, Vermont By Doctor Henry Wentworth Akeley",PDF,1 bound Volume (#14) (236 pages) The work focuses on the cultural development and storytelling of the Washington County region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Dr. Henry Wentworth Akeley,Miskatonic University,10/2/1928,,Bound Volume,Washington County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1928-Vol14-Box14-Folder3,Akeley-1928-Vol14-Box14-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1931-Manuscript-Box15-Folder1,mg101_b7_f23_041.pdf,NA,Final collected notes of Dr. Henry Wentworth Akeley,PDF,"A collection of notes by Dr. Akeley during the final years of his life, topic/ subject/ language unknown.  DAMAGED upon initial accession in 1931, final pages ripped out, missing.",Dr. Henry Wentworth Akeley,Miskatonic University,1931,,Manuscript,Unknown,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1931-Manuscript-Box15-Folder1,Akeley-1931-Manuscript-Box15-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,Unknown,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1931-Map-Box15-Folder1,mg101_b7_f23_042.pdf,NA,Final handdrawn map of Dr. Henry Wentworth Akeley,PDF,"A hand drawn map by Dr. Akeley, location/ subject unknown.  DAMAGED upon initial accession in 1931, paritialy burnt",Dr. Henry Wentworth Akeley,Miskatonic University,1931,,Drawing,Unknown,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1931-Map-Box15-Folder1,Akeley-1931-Map-Box15-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,Unknown,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
